datetime,CO,NO2,TEMP,RH,AH
2004-03-10T18:00:00Z,2.6,113,13.6,48.9,0.7578
2004-03-10T19:00:00Z,2,92,13.3,47.7,0.7255
2004-03-10T20:00:00Z,2.2,114,11.9,54,0.7502
2004-03-10T21:00:00Z,2.2,122,11,60,0.7867
2004-03-10T22:00:00Z,1.6,116,11.2,59.6,0.7888
2004-03-10T23:00:00Z,1.2,96,11.2,59.2,0.7848
2004-03-11T00:00:00Z,1.2,77,11.3,56.8,0.7603
2004-03-11T01:00:00Z,1,76,10.7,60,0.7702
2004-03-11T02:00:00Z,0.9,60,10.7,59.7,0.7648
2004-03-11T05:00:00Z,0.7,28,11,56.2,0.7366
2004-03-11T06:00:00Z,0.7,48,10.5,58.1,0.7353
2004-03-11T07:00:00Z,1.1,82,10.2,59.6,0.7417
2004-03-11T08:00:00Z,2,112,10.8,57.4,0.7408
2004-03-11T09:00:00Z,2.2,101,10.5,60.6,0.7691
2004-03-11T10:00:00Z,1.7,98,10.8,58.4,0.7552
2004-03-11T11:00:00Z,1.5,92,10.5,57.9,0.7352
2004-03-11T12:00:00Z,1.6,95,9.5,66.8,0.7951
2004-03-11T13:00:00Z,1.9,112,8.3,76.4,0.8393
2004-03-11T14:00:00Z,2.9,128,8,81.1,0.8736
2004-03-11T15:00:00Z,2.2,126,8.3,79.8,0.8778
2004-03-11T16:00:00Z,2.2,131,9.7,71.2,0.8569
2004-03-11T17:00:00Z,2.9,135,9.8,67.6,0.8185
2004-03-11T18:00:00Z,4.8,151,10.3,64.2,0.8065
2004-03-11T19:00:00Z,6.9,172,9.7,69.3,0.8319
2004-03-11T20:00:00Z,6.1,165,9.6,67.8,0.8133
2004-03-11T21:00:00Z,3.9,136,9.1,64,0.7419
2004-03-11T22:00:00Z,1.5,85,8.2,63.4,0.6905
2004-03-11T23:00:00Z,1,53,8.2,60.8,0.6657
2004-03-12T00:00:00Z,1.7,97,8.3,58.5,0.6438
2004-03-12T01:00:00Z,1.9,110,7.7,59.7,0.6308
2004-03-12T02:00:00Z,1.4,91,7.1,61.8,0.6276
2004-03-12T05:00:00Z,0.6,44,6.3,65,0.6233
2004-03-12T06:00:00Z,0.8,71,6.8,62.9,0.6234
2004-03-12T07:00:00Z,1.4,104,6.4,65.1,0.6316
2004-03-12T08:00:00Z,4.4,141,7.3,63.1,0.6499
2004-03-12T10:00:00Z,3.1,122,13.2,41.7,0.632
2004-03-12T11:00:00Z,2.7,143,14.3,38.4,0.6243
2004-03-12T12:00:00Z,2.1,113,15,36.5,0.6195
2004-03-12T13:00:00Z,2.5,116,16.1,34.5,0.6262
2004-03-12T14:00:00Z,2.7,123,16.3,35.7,0.656
2004-03-12T15:00:00Z,2.9,126,15.8,37,0.661
2004-03-12T16:00:00Z,2.8,120,15.9,37.2,0.6657
2004-03-12T17:00:00Z,2.4,119,16.9,34.3,0.6549
2004-03-12T18:00:00Z,3.9,149,15.1,39.6,0.6766
2004-03-12T19:00:00Z,3.7,145,14.4,43.4,0.7084
2004-03-12T20:00:00Z,6.6,170,12.9,50.5,0.7478
2004-03-12T21:00:00Z,4.4,149,12.1,53.3,0.7536
2004-03-12T22:00:00Z,3.5,139,11,59.1,0.774
2004-03-12T23:00:00Z,5.4,134,9.7,64.6,0.7771
2004-03-13T00:00:00Z,2.7,113,9.5,64.1,0.7597
2004-03-13T01:00:00Z,1.9,97,9.1,63.9,0.7423
2004-03-13T02:00:00Z,1.6,82,8.8,63.9,0.7256
2004-03-13T05:00:00Z,1,65,8.3,63.6,0.6982
2004-03-13T06:00:00Z,1.2,60,7.2,67.5,0.6887
2004-03-13T07:00:00Z,1.5,77,6.3,71.9,0.6932
2004-03-13T08:00:00Z,2.7,96,6.5,71.6,0.6945
2004-03-13T09:00:00Z,3.7,119,9.6,59.7,0.7124
2004-03-13T10:00:00Z,3.2,126,12.4,51.2,0.7335
2004-03-13T11:00:00Z,4.1,158,15.6,42.2,0.7451
2004-03-13T12:00:00Z,3.6,161,18.4,33.8,0.709
2004-03-13T13:00:00Z,2.8,124,19.4,31.3,0.695
2004-03-13T14:00:00Z,2,102,18,34.8,0.7127
2004-03-13T15:00:00Z,2,116,18.4,33.6,0.7042
2004-03-13T16:00:00Z,2.5,124,17.6,35.1,0.7012
2004-03-13T17:00:00Z,2.3,125,16.7,37.8,0.7117
2004-03-13T18:00:00Z,3.2,148,16.1,41,0.7451
2004-03-13T19:00:00Z,4.2,165,15.8,42.4,0.7569
2004-03-13T20:00:00Z,4.2,161,15.7,44.1,0.7786
2004-03-13T21:00:00Z,4.2,159,15.3,46.8,0.8091
2004-03-13T22:00:00Z,3.1,143,14.6,48.6,0.806
2004-03-13T23:00:00Z,2.6,130,14.7,49.3,0.8193
2004-03-14T00:00:00Z,2.9,129,13.9,53.6,0.8498
2004-03-14T01:00:00Z,2.8,119,14.6,51.5,0.8536
2004-03-14T02:00:00Z,2.5,104,12.5,58.9,0.8537
2004-03-14T05:00:00Z,1.2,70,11.5,63.1,0.8533
2004-03-14T06:00:00Z,1,63,11.6,62.2,0.8473
2004-03-14T07:00:00Z,0.9,67,10.4,67.6,0.853
2004-03-14T08:00:00Z,1.4,84,11.6,62.7,0.853
2004-03-14T09:00:00Z,1.6,83,12.4,60,0.8627
2004-03-14T10:00:00Z,2.2,98,14.5,53.1,0.8728
2004-03-14T11:00:00Z,2.8,114,16.9,46.1,0.8789
2004-03-14T12:00:00Z,2.8,119,19.3,38.3,0.8474
2004-03-14T13:00:00Z,2,104,21.2,31.4,0.7812
2004-03-14T14:00:00Z,1.8,102,21.4,30.2,0.7616
2004-03-14T15:00:00Z,1.9,107,21.9,29,0.7525
2004-03-14T16:00:00Z,3,129,22.2,28.4,0.7516
2004-03-14T17:00:00Z,2.9,128,21.3,30.8,0.7696
2004-03-14T18:00:00Z,2.5,121,19.7,36.7,0.8307
2004-03-14T19:00:00Z,4.6,157,18.4,41.7,0.8732
2004-03-14T20:00:00Z,5.9,173,17.6,46.1,0.921
2004-03-14T21:00:00Z,3.4,146,16.7,49.6,0.932
2004-03-14T22:00:00Z,2.1,121,16.3,51,0.9341
2004-03-14T23:00:00Z,2.2,119,14.7,55.9,0.9314
2004-03-15T00:00:00Z,1.8,99,14.8,54.7,0.9164
2004-03-15T01:00:00Z,1.8,93,14,57,0.9094
2004-03-15T02:00:00Z,1.8,88,13.4,61.3,0.9361
2004-03-15T05:00:00Z,1,74,11.9,67.4,0.9375
2004-03-15T06:00:00Z,1.4,80,11.4,70.5,0.9475
2004-03-15T07:00:00Z,2.2,89,11.3,70.2,0.9401
2004-03-15T08:00:00Z,5.5,114,12.4,63.9,0.917
2004-03-15T09:00:00Z,8.1,149,14.8,54.3,0.9076
2004-03-15T10:00:00Z,5.8,157,17.4,45.6,0.8993
2004-03-15T11:00:00Z,4.2,155,19.8,38.5,0.8801
2004-03-15T12:00:00Z,3.1,134,22,34.1,0.8904
2004-03-15T13:00:00Z,2.9,119,23.3,32.2,0.9096
2004-03-15T14:00:00Z,2.9,111,23.9,30,0.8757
2004-03-15T15:00:00Z,2.5,104,24.4,28.9,0.8736
2004-03-15T16:00:00Z,2.3,99,24.4,29.4,0.8848
2004-03-15T17:00:00Z,2.8,110,23.8,31.3,0.9137
2004-03-15T18:00:00Z,6.1,162,22.5,35.4,0.9547
2004-03-15T19:00:00Z,8,187,20.4,42.5,1.0086
2004-03-15T20:00:00Z,6.5,165,18.3,52.6,1.0945
2004-03-15T21:00:00Z,4.2,145,16.7,57.4,1.0786
2004-03-15T22:00:00Z,3.2,125,15.7,60.2,1.0654
2004-03-15T23:00:00Z,1.4,101,15.3,61.4,1.058
2004-03-16T00:00:00Z,2.1,103,14.1,65.7,1.0494
2004-03-16T01:00:00Z,1.2,88,14.8,60.6,1.0148
2004-03-16T02:00:00Z,0.8,61,14.8,59.2,0.9879
2004-03-16T05:00:00Z,0.6,52,12.8,63.2,0.9283
2004-03-16T06:00:00Z,0.9,64,11.2,68.5,0.9081
2004-03-16T07:00:00Z,1.3,70,11,66.5,0.8705
2004-03-16T08:00:00Z,3.4,97,11.7,63.7,0.8719
2004-03-16T09:00:00Z,3.7,95,13.6,56.3,0.8743
2004-03-16T10:00:00Z,5.3,150,17.8,42.9,0.8672
2004-03-16T11:00:00Z,4.1,162,21.4,33.3,0.8417
2004-03-16T12:00:00Z,3.3,154,24.4,27.4,0.8231
2004-03-16T13:00:00Z,4,161,25.3,26.1,0.8264
2004-03-16T14:00:00Z,3.8,161,25.8,23.2,0.7589
2004-03-16T15:00:00Z,2.8,128,27,20.2,0.7094
2004-03-16T16:00:00Z,2.9,129,28.2,18.6,0.7014
